posCode,posName,date,avgTemp,lowTemp,lowTempTime,highTemp,highTempTime
105,강릉,2021-04-01,11.5,7.4,614,16.3,1514
105,강릉,2021-04-02,12.8,7.9,312,17.7,1329
105,강릉,2021-04-03,11.1,9.9,446,13.1,1144
105,강릉,2021-04-04,8.3,5.8,2353,11.4,1422
105,강릉,2021-04-05,9.5,2.8,607,15.5,1334
105,강릉,2021-04-06,15.3,5.7,427,22,1529
105,강릉,2021-04-07,15.7,10.6,609,20.8,1437
105,강릉,2021-04-08,11.8,8.7,2334,16.2,1542
105,강릉,2021-04-09,9.9,5,2342,13.3,1158
105,강릉,2021-04-10,10.6,2.2,614,17.6,1442
105,강릉,2021-04-11,14.9,7.4,452,21.2,1251
105,강릉,2021-04-12,14.8,11.2,512,21.9,1148
105,강릉,2021-04-13,14.7,10.3,525,20.6,1501
105,강릉,2021-04-14,12.3,6.9,631,17.4,1632
105,강릉,2021-04-15,13.6,8.8,603,19.3,1402
105,강릉,2021-04-16,15,9.7,127,18.5,1512
105,강릉,2021-04-17,11.9,7.9,2259,17.5,1152
105,강릉,2021-04-18,12.7,7.6,435,16.7,1438
105,강릉,2021-04-19,18.8,11.5,359,24.9,1457
105,강릉,2021-04-20,18.5,12.8,2338,25.1,1008
105,강릉,2021-04-21,16.7,9.9,547,22.9,1531
105,강릉,2021-04-22,17,13.2,615,24.4,1323
105,강릉,2021-04-23,14,12.6,2326,15.7,1127
105,강릉,2021-04-24,14.1,11.2,2319,17.9,1239
105,강릉,2021-04-25,12.5,7.5,2359,16.1,1412
105,강릉,2021-04-26,13.4,5.4,406,19,1106
105,강릉,2021-04-27,18.7,12.8,1,23.3,1344
105,강릉,2021-04-28,19.2,15.5,617,24.1,1325
105,강릉,2021-04-29,14,10.6,2324,20,1027
105,강릉,2021-04-30,11.4,9.1,547,16.7,1313
105,강릉,2021-05-01,10.7,9,2143,13.2,1110
105,강릉,2021-05-02,14,8.4,535,19.5,1505
105,강릉,2021-05-03,19,13.5,402,24.1,1624
105,강릉,2021-05-04,20.1,14.9,2400,23.9,1643
105,강릉,2021-05-05,17.2,12.8,142,22.4,1509
105,강릉,2021-05-06,20.2,14.3,202,26.6,1333
105,강릉,2021-05-07,18.5,14.3,2349,25,1055
105,강릉,2021-05-08,18.9,13,314,24.6,1642
105,강릉,2021-05-09,18.6,13.7,455,23.8,1513
105,강릉,2021-05-10,16.7,13.8,2356,20.3,1237
105,강릉,2021-05-11,15.4,9.6,546,21,1457
105,강릉,2021-05-12,15.5,8.9,538,21.2,1535
105,강릉,2021-05-13,16.8,10.8,514,22.6,1421
105,강릉,2021-05-14,18.1,12.8,515,23.6,1510
105,강릉,2021-05-15,17.4,16.2,111,19.4,1444
105,강릉,2021-05-16,14.1,11.1,2009,17.1,1
105,강릉,2021-05-17,12.7,11.1,2355,14,1153
105,강릉,2021-05-18,17.1,9.9,414,24.7,1645
105,강릉,2021-05-19,24.2,16.2,6,30.2,1526
105,강릉,2021-05-20,18.9,15.3,2356,21.9,1320
105,강릉,2021-05-21,14.9,13.6,657,16.6,1824
105,강릉,2021-05-22,23.4,14.8,104,29.6,1406
105,강릉,2021-05-23,25.5,20.8,548,30.9,1252
105,강릉,2021-05-24,22.2,18.6,2110,25.7,1617
105,강릉,2021-05-25,16.4,13.9,405,20.8,1410
105,강릉,2021-05-26,20.9,14.4,417,27.3,1536
105,강릉,2021-05-27,17.4,13.6,2348,22.1,1640
105,강릉,2021-05-28,16.3,12.5,207,21.2,1717
105,강릉,2021-05-29,17.5,13.6,433,21.4,1600
105,강릉,2021-05-30,19.5,14.1,444,24.2,1544
105,강릉,2021-05-31,17,14.9,440,20,1334
105,강릉,2021-06-01,19.6,13.9,410,25.2,1437
105,강릉,2021-06-02,20.7,17.1,542,25.2,1230
105,강릉,2021-06-03,19.3,15.1,2259,24.9,1322
105,강릉,2021-06-04,21.4,13.9,531,27.3,1455
105,강릉,2021-06-05,23.7,19.5,434,28.2,1717
105,강릉,2021-06-06,25.6,20.6,343,30,1534
105,강릉,2021-06-07,26.1,22.4,542,30.3,1401
105,강릉,2021-06-08,22.6,19.5,2345,26.1,1517
105,강릉,2021-06-09,22.5,18.7,542,27.8,1555
105,강릉,2021-06-10,20,18.7,311,22.3,1636
105,강릉,2021-06-11,24.9,18.8,414,29.9,1426
105,강릉,2021-06-12,24.9,20.6,532,29.2,1722
105,강릉,2021-06-13,22.7,18,456,27.5,1619
105,강릉,2021-06-14,21.8,18.9,520,25.5,1338
105,강릉,2021-06-15,20.9,20.2,406,22.2,1355
105,강릉,2021-06-16,19.6,18.7,2336,20.9,1555
105,강릉,2021-06-17,19.5,16.9,533,22.1,1312
105,강릉,2021-06-18,24.1,18.7,119,27.9,1506
105,강릉,2021-06-19,22.8,19.7,2307,26.1,1446
105,강릉,2021-06-20,23.8,19.2,411,29.9,1732
105,강릉,2021-06-21,20.2,18.2,2351,23.4,1015
105,강릉,2021-06-22,18.5,17.3,501,19.6,1109
105,강릉,2021-06-23,19.2,16.4,2357,21.9,1357
105,강릉,2021-06-24,21.8,14.8,510,27.6,1414
105,강릉,2021-06-25,23.8,18.9,526,29.1,1333
105,강릉,2021-06-26,21.9,20.6,2315,23.4,1114
105,강릉,2021-06-27,22.5,19.7,533,26.3,1259
105,강릉,2021-06-28,22.3,20.1,430,25,1500
105,강릉,2021-06-29,22.5,17.7,531,26.6,1440
105,강릉,2021-06-30,22.2,20.1,418,25,1329
105,강릉,2021-07-01,24.3,19.8,603,29.4,1334
105,강릉,2021-07-02,23.2,21.1,2327,26.4,1655
105,강릉,2021-07-03,21.6,20.7,2056,23.1,1051
105,강릉,2021-07-04,21.3,20,2354,22.9,911
105,강릉,2021-07-05,24.9,18.9,529,30.2,1454
105,강릉,2021-07-06,25.2,22.1,537,28.4,1350
105,강릉,2021-07-07,25.1,21.9,227,28.9,1128
105,강릉,2021-07-08,25.4,22.8,502,28.6,1447
105,강릉,2021-07-09,25,22.2,2343,28.9,1415
105,강릉,2021-07-10,23.9,20.9,306,28.8,1348
105,강릉,2021-07-11,28.3,23.2,438,33.5,1527
105,강릉,2021-07-12,29.1,25.5,526,33.4,1537
105,강릉,2021-07-13,27.5,24.2,506,31.4,1439
105,강릉,2021-07-14,27,24.7,438,30.5,1435
105,강릉,2021-07-15,27.8,25.9,458,31,1522
105,강릉,2021-07-16,27,23.7,2346,31.3,1417
105,강릉,2021-07-17,25.5,22.6,439,28.9,1443
105,강릉,2021-07-18,27,22.6,538,31.3,1400
105,강릉,2021-07-19,27.8,23.7,417,32,1523
105,강릉,2021-07-20,28.2,24.4,519,32.4,1449
105,강릉,2021-07-21,28,24.3,557,32.9,1438
105,강릉,2021-07-22,27.3,22.4,548,31.7,1538
105,강릉,2021-07-23,28.1,22.7,545,32.6,1502
105,강릉,2021-07-24,28.1,24.6,509,32.2,1443
105,강릉,2021-07-25,27.6,23.5,525,31.9,1550
105,강릉,2021-07-26,28.3,23.9,617,32.8,1440
105,강릉,2021-07-27,28.4,25.2,2356,32.5,1510
105,강릉,2021-07-28,28,23.2,512,32.1,1402
105,강릉,2021-07-29,28.9,23.7,531,33.7,1448
105,강릉,2021-07-30,30,25.3,510,34.5,1449
105,강릉,2021-07-31,31.2,26.7,529,35.6,1447
105,강릉,2021-08-01,29.7,26.6,525,34,1302
105,강릉,2021-08-02,29.2,26.4,622,34.6,1209
105,강릉,2021-08-03,29.3,26.5,526,33.3,1242
105,강릉,2021-08-04,31.2,27.9,451,35,1356
105,강릉,2021-08-05,31.4,27.5,605,36.5,1213
105,강릉,2021-08-06,29.4,25,2324,34.7,1310
105,강릉,2021-08-07,28.1,24.4,436,32,1426
105,강릉,2021-08-08,24.6,22.6,2122,27.5,850
105,강릉,2021-08-09,24.4,21.3,622,27.1,1147
105,강릉,2021-08-10,24.5,20.9,542,28.6,1200
105,강릉,2021-08-11,25.7,21.9,450,29.2,1442
105,강릉,2021-08-12,25.3,22.9,516,28.2,1248
105,강릉,2021-08-13,25,23.4,538,27.9,1416
105,강릉,2021-08-14,23.2,21.4,2338,25.1,1759
